word	nodeType	unit
mad	ADJ	vol-7
mad	ADJ	vol-7
strained	ADJ	vol-7
double	ADJ	vol-7
tired	ADJ	vol-7
fake	ADJ	vol-7
braided	ADJ	vol-7
technical	ADJ	vol-7
okay	ADJ	vol-7
okay	ADJ	vol-7
braided	ADJ	vol-7
great	ADJ	vol-7
right	ADJ	vol-7
nervous	ADJ	vol-7
little	ADJ	vol-7
old	ADJ	vol-7
okay	ADJ	vol-7
wonderful	ADJ	vol-7
upper	ADJ	vol-7
right	ADJ	vol-7
able	ADJ	vol-7
top	ADJ	vol-7
certain	ADJ	vol-7
amazing	ADJ	vol-7
true	ADJ	vol-7
mammoth	ADJ	vol-7
fun	ADJ	vol-7
artistic	ADJ	vol-7
valuable	ADJ	vol-7
little	ADJ	vol-7
little	ADJ	vol-7
dumb	ADJ	vol-7
sorry	ADJ	vol-7
young	ADJ	vol-7
similar	ADJ	vol-7
same	ADJ	vol-8
long	ADJ	vol-8
earthling	ADJ	vol-8
half	ADJ	vol-8
alien	ADJ	vol-8
many	ADJ	vol-8
impossible	ADJ	vol-8
entire	ADJ	vol-8
wooden	ADJ	vol-8
high	ADJ	vol-8
low	ADJ	vol-8
enough	ADJ	vol-8
high	ADJ	vol-8
first	ADJ	vol-8
great	ADJ	vol-8
astonishing	ADJ	vol-8
low	ADJ	vol-8
bad	ADJ	vol-8
rainy	ADJ	vol-8
sunny	ADJ	vol-8
snowy	ADJ	vol-8
waterproof	ADJ	vol-8
good	ADJ	vol-8
like	ADJ	vol-8
warm	ADJ	vol-8
right	ADJ	vol-8
veteran	ADJ	vol-8
recent	ADJ	vol-8
famous	ADJ	vol-8
entire	ADJ	vol-8
high	ADJ	vol-8
entire	ADJ	vol-8
153rd	ADJ	vol-8
3rd	ADJ	vol-8
fat	ADJ	vol-8
low	ADJ	vol-8
left	ADJ	vol-8
amazing	ADJ	vol-8
somethign	ADJ	vol-8
cool	ADJ	vol-8
courageous	ADJ	vol-8
courageous	ADJ	vol-8
non	ADJ	vol-8
-	ADJ	vol-8
existent	ADJ	vol-8
first	ADJ	vol-8
other	ADJ	vol-8
second	ADJ	vol-8
other	ADJ	vol-8
amazing	ADJ	vol-8
right	ADJ	vol-8
ready	ADJ	vol-8
right	ADJ	vol-8
natural	ADJ	vol-8
artificial	ADJ	vol-8
stupid	ADJ	vol-8
serious	ADJ	vol-8
easy	ADJ	vol-8
strong	ADJ	vol-8
worth	ADJ	vol-8
giant	ADJ	vol-8
curious	ADJ	vol-8
ridiculous	ADJ	vol-8
many	ADJ	vol-8
same	ADJ	vol-8
short	ADJ	vol-8
cheap	ADJ	vol-8
much	ADJ	vol-8
bad	ADJ	vol-8
long	ADJ	vol-8
last	ADJ	vol-8
much	ADJ	vol-8
great	ADJ	vol-8
other	ADJ	vol-8
astronomical	ADJ	vol-8
careful	ADJ	vol-8
notorious	ADJ	vol-8
ridiculous	ADJ	vol-8
okay	ADJ	vol-9
third	ADJ	vol-9
small	ADJ	vol-9
surprised	ADJ	vol-9
famous	ADJ	vol-9
elementary	ADJ	vol-9
embarrassed	ADJ	vol-9
naughty	ADJ	vol-9
filthy	ADJ	vol-9
refined	ADJ	vol-9
true	ADJ	vol-9
japanese	ADJ	vol-9
good	ADJ	vol-9
bald	ADJ	vol-9
wrong	ADJ	vol-9
bald	ADJ	vol-9
awfull	ADJ	vol-9
terrible	ADJ	vol-9
terrible	ADJ	vol-9
flustered	ADJ	vol-9
okay	ADJ	vol-9
next	ADJ	vol-9
many	ADJ	vol-9
flintlock	ADJ	vol-9
flintlock	ADJ	vol-9
young	ADJ	vol-9
sorry	ADJ	vol-9
inside	ADJ	vol-9
kindred	ADJ	vol-9
dry	ADJ	vol-9
full	ADJ	vol-9
pleased	ADJ	vol-9
right	ADJ	vol-9
much	ADJ	vol-9
whole	ADJ	vol-9
heavy	ADJ	vol-9
long	ADJ	vol-9
full	ADJ	vol-9
light	ADJ	vol-9
medium	ADJ	vol-9
light	ADJ	vol-9
complete	ADJ	vol-9
great	ADJ	vol-9
golden	ADJ	vol-9
angry	ADJ	vol-9
popular	ADJ	vol-9
golden	ADJ	vol-9
same	ADJ	vol-9
japanese	ADJ	vol-9
more	ADJ	vol-9
angry	ADJ	vol-9
right	ADJ	vol-9
old	ADJ	vol-9
true	ADJ	vol-9
right	ADJ	vol-9
left	ADJ	vol-9
wrong	ADJ	vol-9
pivoting	ADJ	vol-9
right	ADJ	vol-9
left	ADJ	vol-9
right	ADJ	vol-9
old	ADJ	vol-9
more	ADJ	vol-9
bad	ADJ	vol-9
smelly	ADJ	vol-9
next	ADJ	vol-9
