Key,Item Type,Publication Year,Author,Title,Publication Title,Url,Abstract Note,Date,Num Pages,Issue,Volume,Number Of Volumes,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Geocode,Language,Library Catalog,Call Number,Extra,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Country,Version,Code,Code Number,Section,History
GCEQWRG4,book,2009,"Ōtomo, Katsuhiro; Duffy, Jo",Akira,,,"In Neo-Tokyo, built on the former site of Tokyo after World War III, two teenagers are targeted by agencies after they develop paranormal abilities",2009,6,,,,,,,,,Kodansha Comics,New York,"50.9014721,11.0377839",eng,Library Catalog (Blacklight),PN6790.J3 O86 2009,OCLC: 326533804,,https://catalog.libraries.psu.edu/catalog/9179381,physical; interlibrary,"Comic books, strips, etc; Cyberpunk comics; Dystopian comics; Graphic novels; Japan; Japan Tokyo; Psychic ability; Science fiction comic books, strips, etc; Science fiction comics; Teenagers; Tokyo; Tokyo (Japan)",,,"Umezawa, Yoko; York, Linda M.",,,,,,,,,,,,,,,,,1st ed. (vol. 2-6),,,,,,,,,
CAQ6XST4,book,2017,"Sanbe, Kei; Drzka, Sheldon; Blackman, Abigail",Erased,,,"""Twenty-nine-year-old Satoru Fujinuma is floundering through life. Amid his daily drudgery, he finds himself in the grip of an incredible, inexplicable, and uncontrollable phenomenon that rewinds time, a condition that seems to only make his drab life worse. But then, one day, everything changes. A terrible incident forever changes Satoru's life as he knows it ... and with it, comes a ""Revival"" that sends Satoru eighteen years into the past! In the body of his boyhood self, Satoru encounters sights he never imagined he would see again--the smile of his mother, alive and well, his old friends, and Kayo Hinazuki, the girl who was kidnapped and murdered when he was a boy the first time around. To return to the present and prevent the tragedy that brought him back to his childhood in the first place, Satoru begins plotting a way to change Hinazuki's fate ... But up against the clock and a faceless evil, does eleven-year-old Satoru even stand a chance?""--Provided by publisher",2017,,,,,,,,,,Yen Press,"New York, NY","50.9014721,11.0377839",eng,Library Catalog (Blacklight),PN6790.J33 S3413 2017,OCLC: 972733623,,https://catalog.libraries.psu.edu/catalog/22860658,physical; interlibrary,"Comic books, strips, etc; Graphic novels; Japan; Comics (Graphic works); COMICS & GRAPHIC NOVELS / Manga / Science Fiction; Crimes against Prevention; Man-woman relationship; Man-woman relationships; Offenses against the person; Prevention; Time travel; Translations; Translations into English; Women",,,,,,,,,,,,,,,,,,,,First Yen Press edition,,,,,,,,,
ZPLAI59V,book,2008,"Hiroe, Rei",Black Lagoon,,,,2008,,,,,,Viz signature,,,,Viz Media,San Francisco,"37.773972,-122.431297",,Library Catalog (Blacklight),,OCLC: 1033662389,,https://catalog.libraries.psu.edu/catalog/22860471,physical; interlibrary,"Comic books, strips, etc; Graphic novels; Comics (Graphic works); Assassins; Mercenary troops; Organized crime; Pirates; Smuggling; Southeast Asia; Torpedo-boats",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCKCFJHC,book,2021,"Itō, Junji; Allen, Jocelyne; Erbes, Eric; Washington, Masumi; Itō, Junji",Lovesickness,,,"""Ryusuke returns to the town he once lived in because rumors are swirling about girls killing themselves after encountering a bewitchingly handsome young man. Harboring his own secret from time spent in this town, Ryusuke attempts to capture the beautiful boy and close the case... Starting with the strikingly bloody 'Lovesickness,' this volume collects ten stories showcasing horror master Junji Ito in peak form, including 'The Strange Hikizuri Siblings' and 'The Rib Woman.'""--Provided by publisher",2021,402,,,,,Junji Ito story collection,,,,"VIZ Media, LLC","San Francisco, CA","37.773972,-122.431297",eng,Library Catalog (Blacklight),PN6790.J33 I86413 2021,OCLC: 1242806746,,https://catalog.libraries.psu.edu/catalog/42253435,physical; interlibrary,"Comic books, strips, etc; Graphic novels; Comics (Graphic works); Bandes dessinées; Bandes dessinées d'horreur; COMICS & GRAPHIC NOVELS / Diversity & Multicutural; Homecoming; Horror comic books, strips, etc; Horror comics; Nouvelles; Retour au foyer; Short stories; Suicide; Supernatural; Surnaturel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V6FTALDE,book,2023,"Higa, Susumu; Allen, Jocelyne",Okinawa,,,"""This heartbreaking manga, by an award-winning cartoonist, examines the history of Okinawa and its military occupation. An essential manga classic presented in English for the first time""--",2023,529,,,,,,,,,Fantagraphics Books,"Seattle, Washington","50.9014721,11.0377839",eng,Library Catalog (Blacklight),PN6790.J33 H52313 2023,OCLC: 1005693147,,https://catalog.libraries.psu.edu/catalog/43665803,physical; interlibrary,"Comic books, strips, etc; Graphic novels; Japan; Comics (Graphic works); Translations; Bandes dessinées; 1939-1945; 20e siècle; 20th century; Bandes dessinées de guerre; Bandes dessinées historiques; Guerre mondiale, 1939-1945; Histoire; Historical comics; History; Îles; interviews; Interviews; Islands; Japan Okinawa Island; Japon Okinawa (Île); Manga; manga (comic books); Manga (Comic books); Mangas; Military occupation; Occupation militaire; Okinawa (Japon : Ken); Okinawa Island; Okinawa-ken (Japan); Okinawa-shi (Japan); War comics; World War, 1939-1945",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3UX95KFB,book,2017,"Fuse; Kawakami, Taiki; Mitz Vah; Paul, Stephen",That time I got reincarnated as a slime,,,"""Living alone and never having had a girlfriend, 37-year-old Satoru Mikami is dissatisfied with how his life has turned out. But after dying at the hands of a robber, he awakens to a fresh start in a new world ... as a slime monster""--",2017,,,,,,,,,,Kodansha Comics,New York,"50.9014721,11.0377839",eng,Library Catalog (Blacklight),PN6790.J33 F874 2017,OCLC: 989965522,,https://catalog.libraries.psu.edu/catalog/25363762,physical; interlibrary,"Comic books, strips, etc; Graphic novels; Comics (Graphic works); Bandes dessinées; Comic books; Comic strips; COMICS & GRAPHIC NOVELS; Fantasy fiction; Imaginary places; Lieux imaginaires; Manga Fantasy; Monsters; Monstres; Reincarnation; Réincarnation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3JDRXSP,book,2015,"ONE; Murata, Yusuke",One-Punch Man,,,"""Every time a promising villain appears, Saitama beats the snot out of 'em with one punch! Can he finally find an opponent who can go toe-to-toe with him and give his life some meaning? Or is he doomed to a life of superpowered boredom?""--",2015,,,,,,,,,,Viz Media,"San Francisco, CA","37.773972,-122.431297",eng,Library Catalog (Blacklight),PN6790.J34 W3613 2015,OCLC: 919319539,,https://catalog.libraries.psu.edu/catalog/22860783,physical; interlibrary,"Comic books, strips, etc; Graphic novels; Japan; Comics (Graphic works); Translations; Translations into English; COMICS & GRAPHIC NOVELS; Monsters; Cartoons and comics; Fiction; Cyborgs; Manga Media Tie-In; Manga Science Fiction; Muscle strength; Superhero comic books, strips, etc; Superheroes",,,,,,,,,,,,,,,,,,,,Shonen Jump Manga edition,,,,,,,,,
TJI2Q4IA,book,2014,"Matsui, Yūsei; Miyaki, Tetsuichiro; Turnage, Bryant; Dutro, Steve",Assassination classroom,,,"The students in Class 3-E of Kunugigaoka Junior High have a new teacher: an alien octopus with bizarre powers and unlimited strength, who's just destroyed the moon and is threatening to destroy the earth--unless they can kill him first!",2014,21,,,,,Shonen Jump advanced,,,,"Viz Media, LLC","San Francisco, CA","37.773972,-122.431297",eng,Library Catalog (Blacklight),PN6790.J33 M385313 2014,OCLC: 897205399,,https://catalog.libraries.psu.edu/catalog/22860684,physical; interlibrary,"Comic books, strips, etc; Graphic novels; Science fiction comic books, strips, etc; Comics (Graphic works); Assassins; COMICS & GRAPHIC NOVELS; Fiction; Young adult works; Manga Media Tie-In; Manga Science Fiction; Assassination; Attempted assassination; Extraterrestrial beings; Schools; Students; Teachers; Young adult fiction",,,,,,,,,,,,,,,,,,,,Shonen jump advanced manga edition,,,,,,,,,
SMEBAKME,book,2014,"Ashihara, Daisuke; Olsen, Lillian",World trigger,,,"Earth is under constant threat from Neighbors, invincible monsters from another dimension that destroy our way of life. At least we have the elite warriors of Border, who co-opt alien technology to fight back. Our hero Osami Mikumo may not be the best agent, but he'll do whatever it takes to defend life on Earth as we know it",2014,,,,,,Shonen Jump manga,,,,"Viz Media, LLC","San Francisco, Calif","37.773972,-122.431297",eng,Library Catalog (Blacklight),PZ7.7.A84 Wo 2014 v. 1,OCLC: 985647745,,https://catalog.libraries.psu.edu/catalog/22860459,physical; interlibrary,"Comic books, strips, etc; Graphic novels; Science fiction comic books, strips, etc; Comics (Graphic works); Manga; Extraterrestrial beings; Good and evil",,,,,,,,,,,,,,,,,,,,Shonen Jump manga edition,,,,,,,,,
N6YN2BQL,book,2005,"Ōba, Tsugumi; Obata, Takeshi; Rolf, Pookie",Death note,,,"When high school student Light Yagami finds the Death Note, a notebook dropped by a Shinigami death god, he discovers that any person whose name is written in it dies, so Light decides to use the notebook to rid the world of evil",2005,,,,,,Shonen Jump advanced manga ed,,,,Viz Media,San Francisco,"37.773972,-122.431297",,Library Catalog (Blacklight),PN6790.J33 O23 2005,OCLC: 86110238,,https://catalog.libraries.psu.edu/catalog/22860643,physical; interlibrary,"Graphic novels; Students; Good and evil; Comic books, strips, etc. Juvenile fiction; Criminals; Death; Death (Personification); Fantasy comic books, strips, etc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
